File created automatically by script spectrum_reduce.py on 2020-21-18T20:01:58Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
2.1093e+00 2.6081e-04 1.3130e-04
2.1095e+00 2.8614e-04 1.2808e-04
2.1098e+00 2.8801e-04 1.4284e-04
2.1101e+00 2.7843e-04 1.3126e-04
2.1103e+00 2.4219e-04 1.3268e-04
2.1106e+00 2.7293e-04 1.5016e-04
2.1109e+00 2.7758e-04 1.5237e-04
2.1111e+00 2.8788e-04 1.4126e-04
2.1114e+00 2.4580e-04 1.3369e-04
2.1117e+00 2.7312e-04 1.3694e-04
2.1119e+00 2.5041e-04 1.4011e-04
2.1122e+00 2.3406e-04 1.3499e-04
2.1125e+00 2.1051e-04 1.7870e-04
2.1127e+00 2.9546e-04 1.6616e-04
2.1130e+00 3.0171e-04 1.4037e-04
2.1132e+00 3.0260e-04 1.4842e-04
2.1135e+00 2.6223e-04 1.5018e-04
2.1138e+00 2.7089e-04 1.3467e-04
2.1140e+00 2.5431e-04 1.4488e-04
2.1143e+00 2.7114e-04 1.5845e-04
2.1146e+00 2.7149e-04 1.5944e-04
2.1148e+00 2.8777e-04 3.8301e-04
2.1151e+00 3.1224e-04 1.3571e-04
2.1154e+00 2.8099e-04 1.4553e-04
2.1156e+00 2.4538e-04 1.4382e-04
2.1159e+00 2.7748e-04 1.3872e-04
2.1162e+00 2.3901e-04 1.3575e-04
2.1164e+00 2.4920e-04 1.5055e-04
2.1167e+00 2.7105e-04 1.2892e-04
2.1169e+00 2.5810e-04 1.3636e-04
2.1172e+00 2.3949e-04 1.4245e-04
2.1175e+00 2.5561e-04 1.3526e-04
2.1177e+00 2.6047e-04 1.6722e-04
2.1180e+00 2.4259e-04 1.3723e-04
2.1183e+00 2.5959e-04 1.5205e-04
2.1185e+00 2.3588e-04 1.5069e-04
2.1188e+00 2.6298e-04 1.4527e-04
2.1191e+00 3.0217e-04 1.2941e-04
2.1193e+00 2.6184e-04 1.3709e-04
2.1196e+00 2.1327e-04 1.3840e-04
